CustomerID,CustomerSegment
1102,Silver
1179,Silver
1092,Silver
1014,Bronze
1106,Gold
1071,Gold
1188,Silver
1020,Gold
1121,Gold
1074,Gold
1087,Silver
1116,Silver
1099,Bronze
1103,Silver
1151,Bronze
1130,Silver
1149,Gold
1052,Bronze
1001,Bronze
1157,Bronze
1037,Silver
1129,Bronze
1191,Silver
1187,Bronze
1160,Silver
1057,Bronze
1021,Gold
1088,Gold
1048,Bronze
1058,Silver
1169,Silver
1189,Silver
1174,Gold
1050,Gold
1107,Gold
1054,Silver
1063,Silver
1134,Silver
1072,Bronze
1166,Bronze
1017,Bronze
1131,Gold
1059,Gold
1013,Silver
1008,Bronze
1089,Silver
1083,Bronze
1091,Bronze
1110,Silver
1198,Silver
1171,Bronze
1007,Bronze
1034,Gold
1080,Silver
1163,Silver
1049,Silver
1133,Silver
1053,Bronze
1105,Gold
1003,Silver
1190,Bronze
1145,Bronze
1043,Bronze
1161,Bronze
1094,Bronze
1047,Silver
1199,Silver
1039,Gold
1081,Silver
1023,Bronze
1153,Gold
1123,Bronze
1040,Bronze
1156,Silver
1044,Bronze
1064,Silver
1070,Bronze
1128,Gold
1135,Bronze
1062,Silver
1138,Bronze
1162,Silver
1032,Silver
1122,Gold
1004,Silver
1027,Gold
1011,Gold
1150,Bronze
1061,Gold
1036,Silver
1098,Silver
1192,Gold
1100,Bronze
1000,Gold
1141,Gold
1026,Silver
1136,Bronze
1041,Bronze
1178,Bronze
1095,Bronze
1051,Silver
1142,Bronze
1170,Bronze
1028,Bronze
1035,Silver
1012,Silver
1159,Bronze
1186,Silver
1085,Gold
1065,Bronze
1184,Silver
1029,Bronze
1127,Bronze
1120,Silver
1115,Gold
1002,Bronze
1197,Gold
1154,Silver
1164,Bronze
1117,Silver
1112,Silver
1185,Silver
1038,Silver
1183,Bronze
1086,Gold
1146,Gold
1125,Bronze
1067,Bronze
1182,Gold
1144,Gold
1068,Bronze
1097,Silver
1143,Bronze
1096,Gold
1069,Silver
1147,Gold
1194,Silver
1167,Gold
1010,Silver
1177,Bronze
1158,Bronze
1006,Silver
1111,Silver
1139,Bronze
1196,Bronze
1119,Silver
1165,Silver
1152,Bronze
1109,Gold
1193,Bronze
1168,Silver
1175,Silver
1114,Gold
1118,Bronze
1108,Silver
1181,Bronze
1060,Silver
1016,Gold
1045,Bronze
1005,Bronze
1180,Gold
1066,Silver
1024,Silver
1173,Bronze
1113,Gold
1031,Bronze
1126,Bronze
1042,Silver
1025,Silver
1056,Silver
1172,Silver
1019,Silver
1124,Gold
1195,Bronze
1093,Gold
1046,Bronze
1018,Silver
1022,Gold
1033,Bronze
1015,Silver
1075,Silver
1084,Gold
1009,Gold
1137,Gold
1079,Silver
1073,Bronze
1140,Bronze
1104,Gold
1176,Bronze
1082,Silver
1132,Bronze
1090,Silver
1055,Gold
1148,Bronze
1101,Silver
1155,Gold
1077,Gold
1078,Gold
1030,Gold
1076,Bronze
