ProductID,Product,Category
349,Tablet,Electronics
302,Phone,Accessories
393,Tablet,Accessories
365,Tablet,Accessories
302,Monitor,Accessories
289,Tablet,Electronics
373,Phone,Accessories
321,Monitor,Accessories
342,Laptop,Accessories
305,Laptop,Accessories
318,Monitor,Accessories
371,Phone,Accessories
248,Laptop,Accessories
303,Laptop,Electronics
260,Tablet,Accessories
394,Tablet,Accessories
322,Phone,Accessories
333,Monitor,Accessories
208,Phone,Electronics
205,Monitor,Electronics
272,Laptop,Electronics
302,Tablet,Electronics
359,Phone,Electronics
240,Phone,Electronics
313,Monitor,Accessories
207,Monitor,Electronics
271,Phone,Electronics
377,Monitor,Accessories
291,Phone,Electronics
261,Phone,Accessories
283,Phone,Accessories
261,Laptop,Electronics
310,Monitor,Accessories
326,Tablet,Electronics
206,Tablet,Electronics
283,Monitor,Accessories
331,Phone,Accessories
333,Tablet,Electronics
257,Tablet,Accessories
221,Monitor,Accessories
353,Tablet,Electronics
326,Phone,Electronics
202,Monitor,Accessories
240,Tablet,Electronics
387,Tablet,Electronics
305,Phone,Electronics
213,Laptop,Electronics
211,Tablet,Electronics
286,Laptop,Electronics
211,Tablet,Accessories
340,Laptop,Electronics
224,Laptop,Accessories
244,Laptop,Accessories
321,Phone,Accessories
346,Laptop,Electronics
254,Laptop,Electronics
299,Laptop,Accessories
372,Tablet,Electronics
335,Laptop,Accessories
318,Tablet,Electronics
252,Laptop,Electronics
382,Laptop,Accessories
231,Phone,Accessories
250,Tablet,Accessories
243,Laptop,Electronics
281,Tablet,Accessories
397,Tablet,Electronics
345,Monitor,Electronics
349,Phone,Electronics
236,Phone,Accessories
295,Phone,Accessories
255,Monitor,Accessories
304,Monitor,Electronics
258,Phone,Electronics
330,Monitor,Accessories
355,Monitor,Electronics
234,Monitor,Electronics
388,Phone,Accessories
292,Phone,Accessories
381,Phone,Accessories
390,Monitor,Electronics
296,Phone,Electronics
334,Monitor,Electronics
275,Laptop,Electronics
248,Monitor,Electronics
293,Tablet,Accessories
358,Phone,Electronics
385,Phone,Electronics
388,Tablet,Electronics
223,Monitor,Accessories
347,Laptop,Accessories
236,Tablet,Accessories
203,Tablet,Electronics
307,Monitor,Accessories
325,Phone,Accessories
219,Monitor,Accessories
351,Tablet,Accessories
249,Phone,Electronics
376,Phone,Electronics
378,Phone,Accessories
295,Monitor,Electronics
304,Phone,Accessories
363,Tablet,Electronics
316,Tablet,Accessories
297,Laptop,Accessories
265,Monitor,Accessories
278,Laptop,Electronics
361,Tablet,Accessories
363,Laptop,Electronics
205,Tablet,Accessories
238,Laptop,Electronics
369,Phone,Electronics
314,Laptop,Accessories
385,Phone,Accessories
324,Phone,Accessories
211,Monitor,Accessories
330,Phone,Accessories
217,Phone,Electronics
239,Laptop,Accessories
220,Tablet,Accessories
342,Monitor,Electronics
298,Phone,Accessories
225,Monitor,Accessories
207,Laptop,Electronics
299,Phone,Accessories
286,Laptop,Accessories
241,Monitor,Accessories
371,Laptop,Electronics
213,Monitor,Accessories
277,Laptop,Electronics
201,Monitor,Accessories
236,Laptop,Accessories
268,Laptop,Electronics
365,Tablet,Electronics
259,Tablet,Electronics
324,Phone,Electronics
283,Monitor,Electronics
329,Phone,Electronics
269,Tablet,Electronics
344,Tablet,Electronics
322,Laptop,Accessories
288,Tablet,Electronics
227,Laptop,Accessories
265,Phone,Accessories
362,Monitor,Electronics
204,Monitor,Electronics
392,Monitor,Accessories
367,Tablet,Accessories
383,Laptop,Electronics
244,Phone,Electronics
350,Tablet,Accessories
246,Phone,Accessories
230,Laptop,Electronics
338,Laptop,Accessories
209,Monitor,Accessories
394,Tablet,Electronics
317,Laptop,Electronics
279,Tablet,Accessories
292,Phone,Electronics
209,Tablet,Electronics
275,Tablet,Electronics
293,Laptop,Electronics
304,Laptop,Electronics
200,Tablet,Accessories
332,Laptop,Accessories
219,Laptop,Accessories
207,Laptop,Accessories
370,Monitor,Electronics
200,Monitor,Electronics
256,Tablet,Electronics
263,Laptop,Accessories
317,Monitor,Accessories
227,Tablet,Accessories
320,Laptop,Electronics
306,Phone,Accessories
364,Laptop,Electronics
374,Laptop,Electronics
364,Monitor,Electronics
248,Tablet,Electronics
319,Tablet,Electronics
243,Monitor,Electronics
255,Laptop,Accessories
355,Phone,Electronics
310,Laptop,Electronics
333,Laptop,Accessories
307,Phone,Electronics
388,Monitor,Accessories
347,Tablet,Accessories
277,Monitor,Electronics
329,Laptop,Electronics
219,Tablet,Electronics
225,Monitor,Electronics
228,Phone,Accessories
200,Monitor,Accessories
318,Phone,Electronics
234,Tablet,Accessories
397,Monitor,Accessories
258,Laptop,Accessories
268,Monitor,Electronics
360,Tablet,Electronics
378,Laptop,Electronics
211,Laptop,Accessories
219,Phone,Electronics
380,Laptop,Accessories
242,Laptop,Electronics
325,Monitor,Electronics
249,Tablet,Accessories
228,Phone,Electronics
384,Monitor,Accessories
370,Phone,Accessories
377,Tablet,Accessories
350,Phone,Accessories
371,Monitor,Electronics
237,Phone,Electronics
283,Laptop,Electronics
350,Monitor,Accessories
327,Laptop,Accessories
325,Tablet,Accessories
244,Laptop,Electronics
251,Laptop,Electronics
279,Phone,Accessories
377,Laptop,Electronics
323,Monitor,Accessories
318,Monitor,Electronics
207,Tablet,Electronics
284,Monitor,Accessories
328,Phone,Electronics
356,Monitor,Accessories
301,Monitor,Electronics
204,Monitor,Accessories
285,Laptop,Electronics
374,Monitor,Accessories
233,Monitor,Electronics
392,Phone,Electronics
254,Phone,Accessories
318,Laptop,Electronics
357,Laptop,Accessories
225,Tablet,Accessories
246,Laptop,Electronics
312,Laptop,Electronics
275,Phone,Accessories
271,Phone,Accessories
288,Phone,Accessories
245,Laptop,Electronics
395,Monitor,Electronics
232,Tablet,Electronics
200,Laptop,Electronics
346,Phone,Electronics
230,Phone,Electronics
341,Laptop,Electronics
252,Laptop,Accessories
247,Phone,Accessories
304,Phone,Electronics
289,Phone,Electronics
389,Laptop,Accessories
393,Monitor,Electronics
391,Phone,Accessories
397,Phone,Accessories
262,Tablet,Accessories
272,Laptop,Accessories
360,Tablet,Accessories
368,Tablet,Electronics
288,Phone,Electronics
375,Laptop,Accessories
212,Monitor,Electronics
272,Phone,Accessories
276,Monitor,Accessories
358,Monitor,Electronics
267,Laptop,Electronics
297,Tablet,Electronics
324,Laptop,Electronics
218,Phone,Electronics
397,Phone,Electronics
281,Laptop,Accessories
340,Monitor,Electronics
222,Tablet,Accessories
282,Monitor,Electronics
308,Monitor,Electronics
274,Tablet,Accessories
328,Laptop,Electronics
287,Monitor,Electronics
253,Monitor,Accessories
398,Phone,Electronics
288,Monitor,Accessories
342,Tablet,Accessories
264,Phone,Accessories
275,Laptop,Accessories
398,Phone,Accessories
342,Tablet,Electronics
348,Tablet,Electronics
259,Laptop,Accessories
360,Laptop,Accessories
248,Phone,Accessories
234,Tablet,Electronics
301,Monitor,Accessories
210,Laptop,Accessories
298,Laptop,Electronics
399,Laptop,Accessories
309,Tablet,Accessories
273,Phone,Accessories
393,Tablet,Electronics
373,Monitor,Electronics
208,Laptop,Accessories
202,Phone,Electronics
271,Monitor,Electronics
247,Tablet,Accessories
393,Laptop,Accessories
397,Monitor,Electronics
355,Laptop,Accessories
353,Monitor,Accessories
352,Tablet,Electronics
332,Laptop,Electronics
247,Monitor,Accessories
243,Monitor,Accessories
214,Laptop,Accessories
242,Tablet,Electronics
375,Laptop,Electronics
286,Monitor,Accessories
269,Monitor,Accessories
245,Laptop,Accessories
307,Phone,Accessories
322,Tablet,Accessories
370,Monitor,Accessories
220,Monitor,Accessories
306,Laptop,Electronics
279,Laptop,Electronics
316,Phone,Accessories
323,Phone,Accessories
342,Monitor,Accessories
224,Laptop,Electronics
235,Tablet,Accessories
250,Monitor,Electronics
214,Tablet,Accessories
267,Monitor,Electronics
220,Phone,Electronics
218,Phone,Accessories
277,Laptop,Accessories
324,Tablet,Accessories
395,Laptop,Accessories
316,Monitor,Accessories
251,Monitor,Accessories
226,Monitor,Electronics
356,Phone,Accessories
355,Tablet,Accessories
335,Monitor,Accessories
343,Monitor,Accessories
345,Tablet,Electronics
201,Phone,Electronics
376,Monitor,Accessories
276,Tablet,Electronics
289,Laptop,Electronics
206,Phone,Accessories
294,Tablet,Electronics
307,Laptop,Electronics
273,Tablet,Accessories
238,Tablet,Accessories
358,Laptop,Accessories
270,Monitor,Electronics
369,Tablet,Accessories
388,Tablet,Accessories
241,Monitor,Electronics
383,Tablet,Accessories
235,Tablet,Electronics
283,Laptop,Accessories
395,Laptop,Electronics
317,Tablet,Accessories
206,Monitor,Electronics
253,Phone,Accessories
328,Monitor,Electronics
319,Monitor,Accessories
372,Laptop,Electronics
305,Tablet,Accessories
246,Tablet,Electronics
322,Laptop,Electronics
340,Phone,Accessories
349,Phone,Accessories
317,Laptop,Accessories
336,Laptop,Accessories
208,Monitor,Electronics
209,Tablet,Accessories
321,Monitor,Electronics
320,Phone,Electronics
324,Laptop,Accessories
369,Phone,Accessories
248,Phone,Electronics
353,Tablet,Accessories
290,Monitor,Electronics
236,Laptop,Electronics
